master_protein	step	RBP_glyco	NC	CL	CL_NC_Ratio
O95373	1	"Novel RBP, Non-Glycoprotein"	24.67449915	24.16967134	0.050148907
O95373	3	"Novel RBP, Non-Glycoprotein"	22.9424277	23.71173853	1.359807027
O95433	1	"Novel RBP, Non-Glycoprotein"	22.62534925	23.63775826	0.672529331
O95490	2	"Novel RBP, Glycoprotein"	19.63970344	20.35404578	-0.205630384
O95613	3	"Novel RBP, Non-Glycoprotein"	20.65582058	21.36908736	0.340316946
O95721	1	"Novel RBP, Non-Glycoprotein"	22.87828151	22.10326483	-0.411418439
O95758	2	"GO:RBP, Non-Glycoprotein"	NA	20.7265598	NA
O95758	3	"GO:RBP, Non-Glycoprotein"	NA	20.72716037	NA
O95793	1	"GO:RBP, Non-Glycoprotein"	22.9258347	23.55391345	0.951902721
O95793	2	"GO:RBP, Non-Glycoprotein"	20.33219642	22.76632822	3.201301595
O95793	3	"GO:RBP, Non-Glycoprotein"	19.26613684	20.47045562	2.81469109
O95793	4	"GO:RBP, Non-Glycoprotein"	NA	22.25466219	NA
O95817	1	"Novel RBP, Non-Glycoprotein"	23.61479343	23.57586782	0.01617209
O95819	1	"Novel RBP, Non-Glycoprotein"	22.23474124	22.64025451	0.405513262
O95864	1	"Novel RBP, Non-Glycoprotein"	23.41346408	23.95149203	0.36845201
O96005	1	"Novel RBP, Glycoprotein"	22.73784627	23.37042002	0.556470793
P00338	1	"Novel RBP, Non-Glycoprotein"	25.16699119	25.2278343	-0.030858094
P00338	2	"Novel RBP, Non-Glycoprotein"	23.37247941	23.58284357	0.23693143
P00338	3	"Novel RBP, Non-Glycoprotein"	22.99171977	23.0379673	0.046247539
P00387	1	"Novel RBP, Non-Glycoprotein"	24.5479094	24.3786423	0.389296225
P00390	1	"Novel RBP, Non-Glycoprotein"	23.69165223	23.81496579	0.123313559
P00492	1	"Novel RBP, Non-Glycoprotein"	23.16471472	23.43923299	0.499694737
P00505	1	"GO:RBP, Non-Glycoprotein"	25.10379158	25.07185681	-0.061674852
P00558	1	"Novel RBP, Non-Glycoprotein"	24.71265642	24.99992257	0.127782719
P00558	2	"Novel RBP, Non-Glycoprotein"	22.3557081	22.46413797	0.108429871
P01023	1	"Novel RBP, Glycoprotein"	22.72774625	24.61591573	NA
P01023	2	"Novel RBP, Glycoprotein"	23.2305514	21.56983697	-4.411936393
P01130	1	"Novel RBP, Glycoprotein"	22.19161824	21.99657458	-0.656072732
P01130	2	"Novel RBP, Glycoprotein"	23.77512717	22.89060042	-0.964152234
P01130	3	"Novel RBP, Glycoprotein"	22.96895837	22.31939161	-1.063601103
P01130	4	"Novel RBP, Glycoprotein"	22.49759296	21.82797038	-0.874611435
P02452	1	"Novel RBP, Glycoprotein"	23.30103574	23.93692934	0.92460115
P02452	2	"Novel RBP, Glycoprotein"	21.74626873	23.08912804	1.00703474
P02452	3	"Novel RBP, Glycoprotein"	21.7095213	22.19760972	-0.283483409
P02452	4	"Novel RBP, Glycoprotein"	20.29320375	22.16456981	1.993648038
P02511	1	"Novel RBP, Glycoprotein"	21.97726162	21.53710721	-0.440154414
P02545	1	"Novel RBP, Non-Glycoprotein"	25.60869362	25.59272685	0.21181694
P02545	2	"Novel RBP, Non-Glycoprotein"	23.94117973	24.20722369	0.510990504
P02545	3	"Novel RBP, Non-Glycoprotein"	22.83177434	24.84045547	1.865426269
P02545	4	"Novel RBP, Non-Glycoprotein"	21.88687542	23.30115451	1.334758341
P02749	2	"Novel RBP, Glycoprotein"	25.68047735	24.49227142	NA
P02751	1	"Novel RBP, Glycoprotein"	23.0079745	23.52984742	1.174429577
P02751	2	"Novel RBP, Glycoprotein"	21.4389351	23.13516822	2.911739588
P02751	3	"Novel RBP, Glycoprotein"	21.33079823	23.16930893	3.106456529
P02751	4	"Novel RBP, Glycoprotein"	19.28406602	22.22080706	3.341891347
P02765	1	"Novel RBP, Glycoprotein"	22.26014373	26.98219736	7.365999444
P02765	2	"Novel RBP, Glycoprotein"	25.72410553	23.95572152	NA
P02765	3	"Novel RBP, Glycoprotein"	25.42819746	25.30847028	NA
P02765	4	"Novel RBP, Glycoprotein"	24.70745258	21.9658573	-7.652920895
P02786	1	Known RBGP	23.28223555	24.02067807	1.125727569
P02786	2	Known RBGP	21.76510561	24.23944595	3.418302311
P02786	3	Known RBGP	22.52759165	24.64549828	5.331628124
P02786	4	Known RBGP	19.27006114	21.51325693	5.155627084
P02792	1	"Novel RBP, Non-Glycoprotein"	23.81759409	23.50555347	-0.312040619
P02794	1	"Novel RBP, Non-Glycoprotein"	24.38059082	24.79027096	0.360127401
P04083	1	"GO:RBP, Non-Glycoprotein"	25.56629336	25.57685833	0.140422316
P04083	2	"GO:RBP, Non-Glycoprotein"	23.05125257	23.32052206	0.551217343
P04156	2	"Novel RBP, Glycoprotein"	25.061096	24.99095646	-0.148388034
P04156	3	"Novel RBP, Glycoprotein"	25.67956086	25.18895536	-0.490605501
P04156	4	"Novel RBP, Glycoprotein"	24.76167117	24.68204965	-0.079621523
P04181	1	"Novel RBP, Non-Glycoprotein"	22.91054278	23.56042268	0.375724261
P04183	1	"Novel RBP, Non-Glycoprotein"	23.87378473	24.04136804	0.88159351
P04216	1	"Novel RBP, Glycoprotein"	24.68058742	24.61965378	-0.350471833
P04216	2	"Novel RBP, Glycoprotein"	25.13449058	24.87286707	-0.307574887
P04216	3	"Novel RBP, Glycoprotein"	26.42239812	25.61711723	-0.688145476
P04216	4	"Novel RBP, Glycoprotein"	23.69740384	22.59992091	-0.241617906
P04406	1	"Novel RBP, Non-Glycoprotein"	26.08627504	25.32822173	0.03482188
P04406	2	"Novel RBP, Non-Glycoprotein"	25.21613307	25.59278139	0.337290861
P04406	3	"Novel RBP, Non-Glycoprotein"	23.88279439	24.84609624	1.308462692
P04406	4	"Novel RBP, Non-Glycoprotein"	21.62895735	22.74251691	0.846369797
